name,free_returns,items_sold,price,status,shipping
"WILD REPUBLIC WHITE ARTIC FOX 12"" PLUSH VERY SOFT & FLUFFY STUFFED ANIMAL",False,,1495,Pre-Owned,695
"Bear Surprise By Just Play Panda Bear Plush w/Her 2 Adopted Artic Fox Babies 14""",False,,2123,Pre-Owned,0
Squishmallows Nadine The Artic Fox Plush Christmas Holiday 2021 Scarf Kellytoys,False,,2800,Brand New,1575
"Squishmallows FALDETTE Blue Artic Fox 11"" Stuffed Plush - New with Tags",False,,1999,Brand New,1325
Artic Fox Snow White Vintage Tack Pin T-393,True,,999,Pre-Owned,450
DISCOVERY CHANNEL Soft White Arctic Fox Stuffed Plush Animal ,False,,8500,Pre-Owned,0
"LUXURY ARTIC Fox fur Jacket/coat with Whole skins, fur jacket,luxury fur,present",False,,200000,Pre-Owned,
"SQUISHMALLOWS  Kellytoy 16"" ""RIENNE"" GREEN ARTIC FOX Stuffed Animal With Tag",False,,3500,Pre-Owned,1200
"Wild Republic - CK Lil's - Artic Fox - 5""",False,,950,Brand New,660
"Ratermann Artic Fox 60"" Stainless Steel Cryogenic Flex Hose cleaned for oxygen",False,,7999,Brand New,1169
"Squishmallow Faldette 16"" Blue Artic Fox Stuffed Animal Plush Doll Kellytoy 2021",False,,3000,Brand New,1470
"Squishmallow, Blue Artic Fox Melani Squishmallow Plush Doll, 8"" KellyToy NWT",False,,3500,Brand New,495
Women's winter bomber jacket with real fox fur,False,,34500,Brand New,0
"Squishmallow FALDETTE the FOX 12"" plush Artic BLUE tie-dye soft squishy pillow",False,,1999,Brand New,940
Vtg Mint 50's Leonard Furs Animal Silver Artic Fox Fur Stripe Coat Jacket,False,,199999,Pre-Owned,0
"RARE 2014 Squishable 7"" Blue Arctic Fox Plush + Justice Undercover Unicorn Mask ",False,,6998,Pre-Owned,900
"Faldette The Artic Fox Sky Blue 12"" Squishmallow Plush Toy by Kelly Toy NWT",False,,2499,Brand New,1099
NWT UNIPAK White Artic Fox Wolf Stuffed Plush,False,,2499,Brand New,1710
ARTIC FOX Antique Cigar Box Label T Shirt SMALL-XXXLARGE (F),False,,1399,Brand New,500
Squishmallows 12” Nadine The Artic Fox w/Scarf Christmas Holiday Plush NWT,False,,1500,Brand New,540
Wild Republic 12” Artic Fox Wolf Plush Soft White Stuffed Animal,False,,1249,Pre-Owned,1260
Worthington Wm L Dupont ThermoliteTM Insulation Fox Fur Removbl Hood Plum Parka ,False,,4899,Pre-Owned,2220
"Ratermann Artic Fox 36"" Stainless Steel Cryogenic Flex Hose cleaned for oxygen",False,,5999,Brand New,1169
Beautiful Ranch Blue Artic Fox Pelt Fresh Tanned Fur USA Quality Furs   3 Feet,False,,11000,Brand New,1260
Squishmallows Kellytoy 12” Faldette The Blue Artic Fox Exclusive Stuffed Plush,False,,2500,Brand New,610
"Elf on the Shelf, Elf Pets - ARTIC FOX, Storybook Included - New in Box",False,,3150,Brand New,1346
Squishmallows 12” Nadine The Artic Fox w/Scarf Christmas Holiday Plush NWT,False,,4500,Brand New,1710
Zippo Artic Fox#28272,False,,2000,Brand New,500
Vintage Women's FUR Stroller Coat DEL RUBIO ESTATE Fox?,False,,30485,,0
Webkinz ARTIC FOX Plush Toy Doll HM210 NWT + Sealed code!,False,,4950,Brand New,685
Dolly Fox Comin' On Strong 45 RPM Single Record Artic Records 1978 AR 1-D78 Y,True,,629,Pre-Owned,425
OPI Powder Perfection - Pick Your Color - Save When You Buy More!,False,,1395,New without box,0
Wonders Of The Animal Kingdom Mini Info Paper Of The Artic Fox #61,True,,501,Pre-Owned,500
Fur hat real arctik fox women's winter classic,True,,13500,Brand New,800
White & Grey FOX Synthetic Artic FUR So Soft Jacket S 12 Excellent Condition,False,,4061,Pre-Owned,2605
VXN-8 Artic Fox yr 1981 H4368 35mm Aircraft Slide,False,,112,Pre-Owned,316
Rare Squishmallows Travel Neck Pillow Melani The Artic Fox Series 1 NEW Tags,False,,2695,Brand New,1575
Pam Schifferl White Santa With Artic Fox & Rabbit Christmas Figurine Rare Figure,True,,4800,Pre-Owned,585
SAN DIEGO ZOO ARTIC FOX Elongated Pressed Smashed Penny 10,False,,229,,0
Beautiful Ranch Blue Artic Fox Pelt Fresh Tanned Fur USA Quality Furs  3 Feet,False,,11000,Brand New,1260
Hallmark Northpole Snowby Polar Bear & Flitter Artic Fox Plush Ornaments,True,,1295,Brand New,0
Parka with fox or silver fox fur along the edge of the hood,False,,30000,Brand New,0
Wiebe Wicked Sharp Artic Fox Folding Scalpel Knife Survivalist  trap traps trapp,False,0,3495,Brand New,655
New Balance Womens W520rz3 Artic Fox/Black Running Shoes Size 5 (1421265),True,,3849,New (Other),0
"Animal Jam Crystal Artic Fox Purple Palace Den Vinyl 3"" Figure Figurine",False,,524,Pre-Owned,610
