name,free_returns,items_sold,price,status,shipping
Service Dog Harness Vest Reflective - K9 Patches - Waterproof ALL ACCESS CANINE™,True,,712,Brand New,
NEW 2600 FT Remote Dog Shock Training Collar Rechargeable Waterproof Pet Trainer,True,,2497,Brand New,
Tracki 4G GPS Tracker Mini Real time Hidden Dog Car Vehicle kids Tracking device,True,,1888,Brand New,0
Dog Pet Adjustable Nylon Collar Small Medium Large XL With Buckle Puppy,True,,698,Brand New,
Pet Dog Vest Jacket Warm Waterproof Clothes Winter Padded Puppy Coat Apparel,False,,1390,Brand New,
Dog Pet Harness Adjustable Control Vest Dogs Reflective XS S M L XL & Leash Set,False,41,835,Brand New,0
Dog Pet Harness Adjustable Control Vest Dogs Reflective XS S M L XL & Leash Set,False,68,883,Brand New,0
LED Adjustable Dog Collar Blinking Flashing Light Up Glow Pets Safety waterproof,False,,595,Brand New,
"150ct - NEW Dog Puppy 23x36 Pet Housebreaking Pad, Pee Training Pads,  Underpads",False,,2695,Brand New,
Waterproof Clothes Winter Warm Pet Dog Small Medium Large Dog Coat Jacket,False,73,563,Brand New,0
Small Pet Dog Warm Fleece Vest Sweater Clothes Coat Puppy Shirt With Leash Ring,False,,735,Brand New,0
LASER ENGRAVED PERSONALIZED PET TAG ID DOG CAT NAME TAGS DOUBLE SIDE,False,116,250,Brand New,0
New Dog Muzzle Anti Stop Bite Barking Chewing Mesh Mask Training Pet Small Large,True,77,595,Brand New,
2 Pcs Set Adjustable Dog Obedience Stop Barking Hot Pet Dog Training Whistle,False,,489,Brand New,0
CUSTOM ENGRAVED PERSONALIZED PET TAG ID DOG CAT NAME TAGS DOUBLE SIDE,False,,297,Brand New,0
barkOufitters Service Dog Vest Harness and 5 Sizes RED,False,88,999,Brand New,0
Pet Dog Puppy Soft Harness Vest Adjustable Reflective Service ESA Dog S M L XL,False,,1299,Brand New,700
"SNOW CREEK - HEAVY DUTY NYLON DOG COLLAR - ADJUSTABLE (MADE IN KY, USA)",False,,845,Brand New,
Winter Pet Vest Jacket Warm Puppy Dog Waterproof Clothes Small/Large Padded Coat,False,,743,Brand New,0
Donut Plush Pet Dog Cat Bed Fluffy Soft Warm Calming Bed Sleeping Kennel Nest,True,,1298,Brand New,0
Pet Dog Cat Warm Fleece Vest Clothes Puppy T Shirt Sweater Winter Coat Apparel,False,0,639,Brand New,0
Winter Warm Pet Sweater Jacket Coat Small Puppy Dog Cat Jumper Clothes Apparel,True,0,719,Brand New,0
2600 FT Dog Training US Collar Rechargeable Remote Shock PET Waterproof Trainer,True,2676,2299,Brand New,0
No Pull Dog Pet Harness Adjustable Control Vest Dogs Reflective XS S M Large XXL,True,,594,Brand New,
New ListingNo Pull Dog Pet Harness Adjustable Control Vest Dogs Reflective,False,,784,Brand New,
NEW Tactical Dog Vest Harness – Military K9 Dog Training Vest – Working Dog USA,True,,2599,Brand New,
"9.5"" Large Pet Dog Tennis Ball Thrower Chucker Launcher Play Toy Jumbo Size",True,,1195,Brand New,
Big Dog Collar Tactical Heavy Duty ~ K9 Dog Pet Metal Buckle USA,True,,695,Brand New,0
No Pull Dog Pet Vest Harness Adjustable Quality Nylon and LEASH SET XS S M L XL ,True,,1107,Brand New,
2750 FT Dog Training US Collar Rechargeable Remote Shock PET Waterproof Trainer,True,,2579,Brand New,0
Personalized Nylon dog collar engraved custom ID Tag Name / Number reflective ,False,,899,Brand New,0
"USA Dog Raincoat Leisure Waterproof,Adjustable Dog Reflective Raincoat S-XXXL",False,,999,Brand New,0
Wireless Electric Dog Fence Pet Containment System Shock Collars For 2 Dogs Safe,True,889,4149,Brand New,0
5Pc Dog Squeaky Toys Durable Plush Toy for Puppy Large Small Dogs Pets Squeaker,True,,1699,Brand New,
"150 House breaking 23"" x 36"" Dog PEE Pads Puppy Underpads House Training Medical",False,4591,2590,Brand New,
RECHARGEABLE LED Light-up Flash GLOW COLLAR Dog Pet Safety MICRO USB adjustable,True,,700,Brand New,
Metal Steel Dog Pinch Prong Choke Chain Collar Training Guardian Gear Adjustable,False,,899,Brand New,0
2Pack For Dog Pet Toys Aggressive Chewers Balls Plush Teeth Cleaning Squeaky Toy,True,,1359,Brand New,
Dog Cat Pet Grooming Kit Rechargeable Cordless Electric Hair Clipper Trimmer Set,True,,1299,Brand New,
Warm Fleece Dog Vest Sweater Coat Clothes Winter Apparel Jacket Small Medium Pet,False,0,899,Brand New,0
Genuine Leather Dog Collar Durable Alloy Hardware for Medium Extra Large Dogs,False,197,1199,Brand New,
Pet Dog Clothes Puppy T Shirt Clothing For Small Dogs Puppy Chihuahua Vest Plaid,False,,167,Brand New,0
Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpan - VERY GOOD,True,,407,Pre-Owned,0
Rechargeable USB LED Pet Dog Glow Collar night safety adjustable flash light-up ,False,,495,Brand New,350
"100 Dog Puppy 30x36 HEAVY ABSORBENCY Pet Housebreaking Pad, Pee Training Pads",False,5307,3757,Brand New,
PET N PET Dog Poop Bags Pick up Pet Waste Bags 1080 Counts Green 9*13 large size,False,,2399,Brand New,
"100 Housebreaking 23"" x  24"" Dog PEE Pads Puppy Underpads House Training Pads",False,,1775,Brand New,
"Pets, Eggs, Gifts individuals & bundles",False,,99,Brand New,0
Winter Pet Dog Vest Jacket Warm Waterproof Clothes Padded Puppy Coat Small/Large,False,,743,Brand New,0
Pet Dog Jacket Vest Coat Chest Strap Harness Puppy Winter Warm Clothes Costume,False,,1204,Brand New,0
Small Dog Breathable Mesh harness Vest Collar soft chest strap XS-XL Leash set,False,,780,Brand New,0
Petlab Co Probiotic Chews - for Dogs,False,333,2200,Brand New,
(87) TWO Individual Paper LUNCHEON Decoupage Napkins - RED TRUCK DOGS CHRISTMAS,False,,195,Brand New,
Dog Training Collar Rechargeable Remote Control Electric Pet Shock Vibration,False,,2599,Brand New,
Dog Sweater Plaid Winter Clothes for Dogs Puppy Warm and Soft,True,0,999,Brand New,
Pet Dog Clothes T Shirt Vest Clothing Puppy Cat Cute Printed Costume Apparel ,False,,269,Brand New,0
"150ct - NEW Dog Puppy 23x36 Pet Housebreaking Pad, Pee Training Pads, Underpads",False,523,2590,Brand New,
4pcs Waterproof Puppy Dog Shoes Reflective Boots Booties Anti-slip Pet Snow Rain,False,28,899,Brand New,
Dog Pet Fleece Clothes Cat Warm Sweater Coat Winter Puppy Jacket Apparel T Shirt,False,,281,Brand New,0
 XXXS XXS Puppy Sweater Coat Clothes For Chihuahua Cat Pet Dog Clothing Apparel ,False,,379,Brand New,399
Thundershirt Dog SMALL Gray Solution Anxiety Thunder Fireworks Travel,False,,1295,Brand New,
No Pull Dog Pet Harness Adjustable Control Vest Dogs Reflective XS S M Large XXL,True,,599,Brand New,0
PET TAGS BONE (2.5cm) ID STAINLESS STEEL 2 SIDE DIAMOND ENGRAVE DOG CAT NAME TAG,False,,494,Brand New,0
Orthopedic Dog Bed XL Memory Foam Pet Sofa Cushion Removable Extra Large NEW,True,83,3499,Brand New,
2600 FT Remote Dog Shock Training Collar Rechargeable Waterproof LCD Pet Trainer,True,400,2348,Brand New,0
"Bully Sticks 6"" 100% Natural Beef Bully Sticks Dog Chews & Treats USA Sourced",True,715,950,Brand New,0
Small Dog Spiked Studded Rivets Dog Pet Faux PU Leather Collar Toy Small w-Vest,True,96,899,Brand New,
"Choke Chain Dog Collar, Various Sizes",True,111,599,Brand New,
1012 Black Poop Bag Dog Waste Pick Up Clean Bags Core. Made in USA &Dispenser,True,10000,1944,Brand New,
Dog Basic Sweatshirt Shirt Sweater Pet Coat Basic XS to XL for SMALL Dog or CAT,False,,499,Brand New,0
2600FT Rechargeable Dog Training Collar with Remote Shock Beep Waterproof Collar,True,,1499,Brand New,0
